BSS Id,Receiver address,Type/Subtype,PHY type,MCS Index,Bandwidth,Short GI,Data rate,Channel,Frequency,Signal strength,Signal/noise ratio,Retry,TSF Timestamp
0c:67:14:92:8c:44,0c:67:14:92:8c:44,Type/Subtype: Null function (No data) (0x0024),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-56 dBm,39 dB,0,1050556236
N/A,be:19:e4:1c:ae:a6,Type/Subtype: Acknowledgement (0x001d),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-51 dBm,44 dB,0,1050556284
N/A,0c:67:14:92:8c:44,Type/Subtype: Request-to-send (0x001b),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-53 dBm,42 dB,0,1050556439
N/A,be:19:e4:1c:ae:a6,Type/Subtype: Clear-to-send (0x001c),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-49 dBm,46 dB,0,1050556483
N/A,be:19:e4:1c:ae:a6,Type/Subtype: 802.11 Block Ack (0x0019),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-49 dBm,46 dB,0,1050556653
N/A,0c:67:14:92:8c:44,Type/Subtype: Request-to-send (0x001b),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-53 dBm,42 dB,0,1050557174
N/A,be:19:e4:1c:ae:a6,Type/Subtype: Clear-to-send (0x001c),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-49 dBm,46 dB,0,1050557218
N/A,be:19:e4:1c:ae:a6,Type/Subtype: 802.11 Block Ack (0x0019),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-49 dBm,46 dB,0,1050557359
N/A,82:f8:6a:22:08:9f,Type/Subtype: Request-to-send (0x001b),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-49 dBm,46 dB,0,1050559617
N/A,0c:67:14:92:8c:44,Type/Subtype: Clear-to-send (0x001c),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-55 dBm,40 dB,0,1050559661
0c:67:14:92:8c:44,82:f8:6a:22:08:9f,Type/Subtype: QoS Data (0x0028),PHY type: 802.11ax (HE) (11),N/A,N/A,False,1201.0 Mbps,36,5180,-49 dBm,46 dB,0,1050559718
N/A,0c:67:14:92:8c:44,Type/Subtype: 802.11 Block Ack (0x0019),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-55 dBm,40 dB,0,1050559793
N/A,e0:3e:44:10:8c:44,Type/Subtype: Clear-to-send (0x001c),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,6.0 Mbps,36,5180,-52 dBm,43 dB,0,1050559847
7a:4f:24:46:49:25,ff:ff:ff:ff:ff:ff,Type/Subtype: Beacon frame (0x0008),PHY type: 802.11a (OFDM) (5),N/A,80 MHz,Not supported,6.0 Mbps,122,5180,-84 dBm,11 dB,0,896229990494
c4:e5:32:56:58:25,c4:e5:32:56:58:25,Type/Subtype: Action No Ack (0x000e),PHY type: 802.11ac (VHT) (8),0 (BPSK 1/2),40 MHz,False,13.5 Mbps,40 MHz (0x1),5180,-90 dBm,5 dB,0,1050561898
N/A,0c:67:14:92:8c:44,Type/Subtype: Request-to-send (0x001b),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-55 dBm,40 dB,0,1050563031
N/A,0c:67:14:92:8c:44,Type/Subtype: Request-to-send (0x001b),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-55 dBm,40 dB,0,1050563309
N/A,0c:67:14:92:8c:44,Type/Subtype: Request-to-send (0x001b),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-55 dBm,40 dB,0,1050563516
N/A,0c:67:14:92:8c:44,Type/Subtype: Request-to-send (0x001b),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-55 dBm,40 dB,0,1050563632
N/A,0c:67:14:92:8c:44,Type/Subtype: Request-to-send (0x001b),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-55 dBm,40 dB,0,1050565233
N/A,0c:67:14:92:8c:44,Type/Subtype: Request-to-send (0x001b),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-55 dBm,40 dB,0,1050567420
N/A,0c:67:14:92:8c:44,Type/Subtype: Request-to-send (0x001b),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-55 dBm,40 dB,0,1050568283
N/A,82:f8:6a:22:08:9f,Type/Subtype: Clear-to-send (0x001c),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-50 dBm,45 dB,0,1050568327
